disease,description,precautions
allergy,"an allergy is an immune system response to a foreign substance that's not typically harmful to your body.they can include certain foods, pollen, or pet dander. your immune system's job is to keep you healthy by fighting harmful pathogens.","apply calamine, cover area with bandage, use ice to compress itching"
allergy,"an allergy is an immune system response to a foreign substance that's not typically harmful to your body.they can include certain foods, pollen, or pet dander. your immune system's job is to keep you healthy by fighting harmful pathogens.","apply calamine, cover area with bandage, use ice to compress itching"
allergy,"an allergy is an immune system response to a foreign substance that's not typically harmful to your body.they can include certain foods, pollen, or pet dander. your immune system's job is to keep you healthy by fighting harmful pathogens.","apply calamine, cover area with bandage, use ice to compress itching"
allergy,"an allergy is an immune system response to a foreign substance that's not typically harmful to your body.they can include certain foods, pollen, or pet dander. your immune system's job is to keep you healthy by fighting harmful pathogens.","apply calamine, cover area with bandage, use ice to compress itching"
gerd,"gastroesophageal reflux disease, or gerd, is a digestive disorder that affects the lower esophageal sphincter (les), the ring of muscle between the esophagus and stomach. many people, including pregnant women, suffer from heartburn or acid indigestion caused by gerd.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise"
gerd,"gastroesophageal reflux disease, or gerd, is a digestive disorder that affects the lower esophageal sphincter (les), the ring of muscle between the esophagus and stomach. many people, including pregnant women, suffer from heartburn or acid indigestion caused by gerd.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise"
gerd,"gastroesophageal reflux disease, or gerd, is a digestive disorder that affects the lower esophageal sphincter (les), the ring of muscle between the esophagus and stomach. many people, including pregnant women, suffer from heartburn or acid indigestion caused by gerd.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise"
gerd,"gastroesophageal reflux disease, or gerd, is a digestive disorder that affects the lower esophageal sphincter (les), the ring of muscle between the esophagus and stomach. many people, including pregnant women, suffer from heartburn or acid indigestion caused by gerd.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise"
gerd,"gastroesophageal reflux disease, or gerd, is a digestive disorder that affects the lower esophageal sphincter (les), the ring of muscle between the esophagus and stomach. many people, including pregnant women, suffer from heartburn or acid indigestion caused by gerd.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise"
gerd,"gastroesophageal reflux disease, or gerd, is a digestive disorder that affects the lower esophageal sphincter (les), the ring of muscle between the esophagus and stomach. many people, including pregnant women, suffer from heartburn or acid indigestion caused by gerd.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise"
gerd,"gastroesophageal reflux disease, or gerd, is a digestive disorder that affects the lower esophageal sphincter (les), the ring of muscle between the esophagus and stomach. many people, including pregnant women, suffer from heartburn or acid indigestion caused by gerd.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise"
gerd,"gastroesophageal reflux disease, or gerd, is a digestive disorder that affects the lower esophageal sphincter (les), the ring of muscle between the esophagus and stomach. many people, including pregnant women, suffer from heartburn or acid indigestion caused by gerd.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise"
gerd,"gastroesophageal reflux disease, or gerd, is a digestive disorder that affects the lower esophageal sphincter (les), the ring of muscle between the esophagus and stomach. many people, including pregnant women, suffer from heartburn or acid indigestion caused by gerd.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise"
gerd,"gastroesophageal reflux disease, or gerd, is a digestive disorder that affects the lower esophageal sphincter (les), the ring of muscle between the esophagus and stomach. many people, including pregnant women, suffer from heartburn or acid indigestion caused by gerd.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise"
chronic cholestasis,"chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy"
chronic cholestasis,"chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy"
chronic cholestasis,"chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy"
chronic cholestasis,"chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy"
chronic cholestasis,"chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy"
chronic cholestasis,"chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy"
chronic cholestasis,"chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy"
chronic cholestasis,"chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy"
chronic cholestasis,"chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy"
chronic cholestasis,"chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy"
drug reaction,an adverse drug reaction (adr) is an injury caused by taking medication. adrs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"stop irritation, consult nearest hospital, stop taking drug, follow up"
drug reaction,an adverse drug reaction (adr) is an injury caused by taking medication. adrs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"stop irritation, consult nearest hospital, stop taking drug, follow up"
drug reaction,an adverse drug reaction (adr) is an injury caused by taking medication. adrs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"stop irritation, consult nearest hospital, stop taking drug, follow up"
drug reaction,an adverse drug reaction (adr) is an injury caused by taking medication. adrs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"stop irritation, consult nearest hospital, stop taking drug, follow up"
drug reaction,an adverse drug reaction (adr) is an injury caused by taking medication. adrs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"stop irritation, consult nearest hospital, stop taking drug, follow up"
drug reaction,an adverse drug reaction (adr) is an injury caused by taking medication. adrs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"stop irritation, consult nearest hospital, stop taking drug, follow up"
drug reaction,an adverse drug reaction (adr) is an injury caused by taking medication. adrs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"stop irritation, consult nearest hospital, stop taking drug, follow up"
drug reaction,an adverse drug reaction (adr) is an injury caused by taking medication. adrs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"stop irritation, consult nearest hospital, stop taking drug, follow up"
drug reaction,an adverse drug reaction (adr) is an injury caused by taking medication. adrs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"stop irritation, consult nearest hospital, stop taking drug, follow up"
drug reaction,an adverse drug reaction (adr) is an injury caused by taking medication. adrs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"stop irritation, consult nearest hospital, stop taking drug, follow up"
peptic ulcer diseae,"peptic ulcer disease (pud) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. an ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol"
peptic ulcer diseae,"peptic ulcer disease (pud) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. an ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol"
peptic ulcer diseae,"peptic ulcer disease (pud) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. an ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol"
peptic ulcer diseae,"peptic ulcer disease (pud) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. an ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol"
peptic ulcer diseae,"peptic ulcer disease (pud) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. an ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol"
peptic ulcer diseae,"peptic ulcer disease (pud) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. an ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol"
peptic ulcer diseae,"peptic ulcer disease (pud) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. an ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol"
peptic ulcer diseae,"peptic ulcer disease (pud) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. an ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol"
peptic ulcer diseae,"peptic ulcer disease (pud) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. an ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol"
peptic ulcer diseae,"peptic ulcer disease (pud) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. an ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol"
aids,"acquired immunodeficiency syndrome (aids) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (hiv). by damaging your immune system, hiv interferes with your body's ability to fight infection and disease.","avoid open cuts, wear ppe if possible, consult doctor, follow up"
aids,"acquired immunodeficiency syndrome (aids) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (hiv). by damaging your immune system, hiv interferes with your body's ability to fight infection and disease.","avoid open cuts, wear ppe if possible, consult doctor, follow up"
aids,"acquired immunodeficiency syndrome (aids) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (hiv). by damaging your immune system, hiv interferes with your body's ability to fight infection and disease.","avoid open cuts, wear ppe if possible, consult doctor, follow up"
aids,"acquired immunodeficiency syndrome (aids) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (hiv). by damaging your immune system, hiv interferes with your body's ability to fight infection and disease.","avoid open cuts, wear ppe if possible, consult doctor, follow up"
aids,"acquired immunodeficiency syndrome (aids) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (hiv). by damaging your immune system, hiv interferes with your body's ability to fight infection and disease.","avoid open cuts, wear ppe if possible, consult doctor, follow up"
aids,"acquired immunodeficiency syndrome (aids) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (hiv). by damaging your immune system, hiv interferes with your body's ability to fight infection and disease.","avoid open cuts, wear ppe if possible, consult doctor, follow up"
aids,"acquired immunodeficiency syndrome (aids) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (hiv). by damaging your immune system, hiv interferes with your body's ability to fight infection and disease.","avoid open cuts, wear ppe if possible, consult doctor, follow up"
aids,"acquired immunodeficiency syndrome (aids) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (hiv). by damaging your immune system, hiv interferes with your body's ability to fight infection and disease.","avoid open cuts, wear ppe if possible, consult doctor, follow up"
aids,"acquired immunodeficiency syndrome (aids) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (hiv). by damaging your immune system, hiv interferes with your body's ability to fight infection and disease.","avoid open cuts, wear ppe if possible, consult doctor, follow up"
aids,"acquired immunodeficiency syndrome (aids) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (hiv). by damaging your immune system, hiv interferes with your body's ability to fight infection and disease.","avoid open cuts, wear ppe if possible, consult doctor, follow up"
diabetes,"diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. blood glucose is your main source of energy and comes from the food you eat. insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.","have balanced diet, exercise, consult doctor, follow up"
diabetes,"diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. blood glucose is your main source of energy and comes from the food you eat. insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.","have balanced diet, exercise, consult doctor, follow up"
diabetes,"diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. blood glucose is your main source of energy and comes from the food you eat. insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.","have balanced diet, exercise, consult doctor, follow up"
diabetes,"diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. blood glucose is your main source of energy and comes from the food you eat. insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.","have balanced diet, exercise, consult doctor, follow up"
diabetes,"diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. blood glucose is your main source of energy and comes from the food you eat. insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.","have balanced diet, exercise, consult doctor, follow up"
diabetes,"diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. blood glucose is your main source of energy and comes from the food you eat. insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.","have balanced diet, exercise, consult doctor, follow up"
diabetes,"diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. blood glucose is your main source of energy and comes from the food you eat. insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.","have balanced diet, exercise, consult doctor, follow up"
diabetes,"diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. blood glucose is your main source of energy and comes from the food you eat. insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.","have balanced diet, exercise, consult doctor, follow up"
diabetes,"diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. blood glucose is your main source of energy and comes from the food you eat. insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.","have balanced diet, exercise, consult doctor, follow up"
diabetes,"diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. blood glucose is your main source of energy and comes from the food you eat. insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.","have balanced diet, exercise, consult doctor, follow up"
gastroenteritis,"gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .","stop eating solid food for while, try taking small sips of water, rest, ease back into eating"
gastroenteritis,"gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .","stop eating solid food for while, try taking small sips of water, rest, ease back into eating"
gastroenteritis,"gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .","stop eating solid food for while, try taking small sips of water, rest, ease back into eating"
gastroenteritis,"gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .","stop eating solid food for while, try taking small sips of water, rest, ease back into eating"
gastroenteritis,"gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .","stop eating solid food for while, try taking small sips of water, rest, ease back into eating"
gastroenteritis,"gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .","stop eating solid food for while, try taking small sips of water, rest, ease back into eating"
gastroenteritis,"gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .","stop eating solid food for while, try taking small sips of water, rest, ease back into eating"
gastroenteritis,"gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .","stop eating solid food for while, try taking small sips of water, rest, ease back into eating"
gastroenteritis,"gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .","stop eating solid food for while, try taking small sips of water, rest, ease back into eating"
gastroenteritis,"gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .","stop eating solid food for while, try taking small sips of water, rest, ease back into eating"
bronchial asthma,"bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. the disease is chronic and interferes with daily working.","switch to loose cloothing, take deep breaths, get away from trigger, seek help"
bronchial asthma,"bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. the disease is chronic and interferes with daily working.","switch to loose cloothing, take deep breaths, get away from trigger, seek help"
bronchial asthma,"bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. the disease is chronic and interferes with daily working.","switch to loose cloothing, take deep breaths, get away from trigger, seek help"
bronchial asthma,"bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. the disease is chronic and interferes with daily working.","switch to loose cloothing, take deep breaths, get away from trigger, seek help"
bronchial asthma,"bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. the disease is chronic and interferes with daily working.","switch to loose cloothing, take deep breaths, get away from trigger, seek help"
bronchial asthma,"bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. the disease is chronic and interferes with daily working.","switch to loose cloothing, take deep breaths, get away from trigger, seek help"
bronchial asthma,"bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. the disease is chronic and interferes with daily working.","switch to loose cloothing, take deep breaths, get away from trigger, seek help"
bronchial asthma,"bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. the disease is chronic and interferes with daily working.","switch to loose cloothing, take deep breaths, get away from trigger, seek help"
bronchial asthma,"bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. the disease is chronic and interferes with daily working.","switch to loose cloothing, take deep breaths, get away from trigger, seek help"
bronchial asthma,"bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. the disease is chronic and interferes with daily working.","switch to loose cloothing, take deep breaths, get away from trigger, seek help"
hypertension,"hypertension (htn or ht), also known as high blood pressure (hbp), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. high blood pressure typically does not cause symptoms.","meditation, salt baths, reduce stress, get proper sleep"
hypertension,"hypertension (htn or ht), also known as high blood pressure (hbp), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. high blood pressure typically does not cause symptoms.","meditation, salt baths, reduce stress, get proper sleep"
hypertension,"hypertension (htn or ht), also known as high blood pressure (hbp), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. high blood pressure typically does not cause symptoms.","meditation, salt baths, reduce stress, get proper sleep"
hypertension,"hypertension (htn or ht), also known as high blood pressure (hbp), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. high blood pressure typically does not cause symptoms.","meditation, salt baths, reduce stress, get proper sleep"
hypertension,"hypertension (htn or ht), also known as high blood pressure (hbp), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. high blood pressure typically does not cause symptoms.","meditation, salt baths, reduce stress, get proper sleep"
hypertension,"hypertension (htn or ht), also known as high blood pressure (hbp), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. high blood pressure typically does not cause symptoms.","meditation, salt baths, reduce stress, get proper sleep"
hypertension,"hypertension (htn or ht), also known as high blood pressure (hbp), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. high blood pressure typically does not cause symptoms.","meditation, salt baths, reduce stress, get proper sleep"
hypertension,"hypertension (htn or ht), also known as high blood pressure (hbp), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. high blood pressure typically does not cause symptoms.","meditation, salt baths, reduce stress, get proper sleep"
hypertension,"hypertension (htn or ht), also known as high blood pressure (hbp), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. high blood pressure typically does not cause symptoms.","meditation, salt baths, reduce stress, get proper sleep"
hypertension,"hypertension (htn or ht), also known as high blood pressure (hbp), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. high blood pressure typically does not cause symptoms.","meditation, salt baths, reduce stress, get proper sleep"
migraine,"a migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. it's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.","meditation, reduce stress, use poloroid glasses in sun, consult doctor"
migraine,"a migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. it's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.","meditation, reduce stress, use poloroid glasses in sun, consult doctor"
migraine,"a migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. it's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.","meditation, reduce stress, use poloroid glasses in sun, consult doctor"
migraine,"a migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. it's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.","meditation, reduce stress, use poloroid glasses in sun, consult doctor"
migraine,"a migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. it's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.","meditation, reduce stress, use poloroid glasses in sun, consult doctor"
